time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.47265625,129
6.43359375,128
7.375,128
8.2890625,128
9.09765625,128
9.90625,128
10.69921875,128
11.46875,0
12.26171875,0
13.06640625,0
13.89453125,0
14.7421875,0
15.6875,0
16.7265625,128
17.75,128
18.7890625,128
19.80078125,0
20.75,0
21.61328125,0
22.40234375,0
23.12109375,0
23.80859375,0
24.48828125,0
25.17578125,0
25.9375,0
26.76953125,0
27.6875,0
28.6640625,0
29.59765625,0
30.46875,0
31.25,0
32.01171875,0
32.734375,0
33.4296875,0
34.0859375,0
34.734375,0
35.37890625,0
36.046875,0
36.75390625,0
37.5078125,0
38.2734375,0
39.10546875,0
39.9375,0
40.7578125,0
41.57421875,0
42.34765625,0
43.1015625,0
43.875,0
44.6328125,0
45.40234375,0
46.19140625,0
47.0546875,0
47.97265625,0
48.87109375,0
49.82421875,0
50.8046875,0
51.73828125,0
52.640625,0
53.578125,0
54.5,0
55.41796875,0
56.38671875,0
57.390625,0
58.38671875,0
59.44140625,0
60.5234375,0
61.54296875,0
62.5625,0
63.59375,0
64.57421875,0
65.4921875,0
66.4609375,0
67.46875,0
68.46875,0
69.45703125,0
70.51171875,0
71.6015625,0
72.6484375,0
73.6875,0
74.73046875,0
75.75,0
76.71875,0
77.69921875,0
78.71875,0
79.73046875,0
80.765625,0
81.85546875,0
82.953125,0
84.0,0
85.03125,0
85.99609375,0
86.91015625,0
87.87109375,0
88.84375,0
89.78125,0
90.640625,0
91.63671875,0
92.625,0
93.54296875,0
94.5234375,0
95.48046875,0
96.33984375,0
97.1875,0
97.9453125,0
98.6875,0
99.45703125,0
100.25,0
101.046875,0
101.890625,0
102.66796875,0
103.55078125,0
104.42578125,0
105.26953125,0
106.19140625,0
107.078125,0
108.01171875,0
108.9296875,0
109.765625,0
110.65234375,0
111.53125,0
112.4765625,0
113.4140625,0
114.359375,0
115.30078125,0
116.25,0
117.21484375,0
118.14453125,0
119.08203125,0
120.046875,0
121.046875,0
122.08203125,0
123.11328125,0
124.0625,0
125.0390625,0
125.96484375,0
126.91015625,0
127.8359375,0
128.78515625,0
129.7578125,0
130.76171875,0
131.75,0
132.7421875,0
133.7421875,0
134.74609375,0
135.734375,0
136.69921875,0
137.734375,0
138.73828125,0
139.765625,0
140.7734375,0
141.76953125,0
142.7421875,0
143.6875,0
144.58203125,0
145.45703125,0
146.35546875,0
147.28125,0
148.1875,0
149.08203125,0
149.94921875,0
150.81640625,0
151.66015625,0
152.50390625,0
153.37109375,0
154.25390625,0
155.1171875,0
156.06640625,0
156.94140625,0
157.84375,0
158.6640625,0
159.51953125,0
160.29296875,0
161.08203125,0
161.828125,0
162.609375,0
163.359375,0
164.1015625,0
164.83984375,0
165.58984375,0
166.37109375,0
167.20703125,0
168.07421875,0
169.00390625,0
169.9765625,0
170.93359375,0
171.87109375,0
172.8359375,0
173.83203125,0
174.80078125,0
175.7265625,0
176.640625,0
177.53515625,0
178.4296875,0
179.2421875,0
180.078125,0
180.953125,0
181.859375,0
182.80859375,0
183.77734375,0
184.79296875,0
185.81640625,0
186.8515625,0
187.87890625,0
188.8984375,0
189.84375,0
190.68359375,0
191.58984375,0
192.375,0
193.19921875,0
193.96484375,0
194.8125,0
195.58984375,0
196.4453125,0
197.2265625,0
198.0546875,0
198.83203125,0
199.60546875,0
200.37890625,0
201.16796875,0
201.953125,0
202.75390625,0
203.49609375,0
204.2109375,0
204.9453125,0
205.82421875,0
206.80078125,0
207.828125,128
208.86328125,128
209.78125,0
210.60546875,0
211.44140625,0
212.34765625,0
213.265625,0
214.17578125,0
215.0625,0
215.8671875,0
216.625,0
217.3984375,0
218.26953125,0
219.203125,0
220.1484375,0
221.0859375,0
221.95703125,0
222.78515625,0
223.65625,0
224.5546875,0
225.453125,0
226.32421875,0
227.15234375,0
227.953125,0
228.8125,0
229.70703125,0
230.6328125,0
231.5390625,0
232.4296875,0
233.33203125,0
234.25,0
235.08984375,0
235.8515625,0
236.625,0
237.44140625,0
238.29296875,0
239.109375,0
239.9296875,0
240.7265625,0
241.5390625,0
242.3828125,0
243.22265625,0
244.109375,0
244.99609375,0
245.91796875,0
246.83984375,0
247.7734375,0
248.70703125,0
249.6171875,0
250.484375,0
251.2734375,0
252.01953125,0
252.734375,128
253.4296875,128
254.12109375,128
254.8125,128
255.5078125,128
256.2109375,128
256.92578125,0
257.65234375,0
258.37890625,0
259.11328125,0
259.83984375,0
260.5546875,0
261.265625,0
261.9609375,0
262.6484375,0
263.328125,0
264.015625,0
264.703125,0
265.42578125,0
266.1796875,0
266.9375,0
267.72265625,0
268.5390625,1
